run_id,K,topic_id,words
1,3,0,"woman, man, leave, misandry, skank, sex, hell, spin, beef, decade"
1,3,1,"woman, man, leave, hell, sister, ipc, pillow, mind, hype, immigration"
1,3,2,"woman, man, slag, leave, hell, #patriarchy, course, pronoun, add, lpf"
2,3,0,"woman, day, girl, bitch, man, whore, slut, home, lead, latex"
2,3,1,"woman, girl, bitch, day, man, whore, skank, gold, slutbag, digger"
2,3,2,"woman, girl, bitch, day, whore, slut, slapper, man, wait, christmas"
3,5,0,"woman, deserve, mansplaining, misandry, slapper, bitch, character, talk, blonde, jacket"
3,5,1,"woman, whore, tit, beautiful, slag, #notallman, state, ipc, wife, empower"
3,5,2,"ass, bitch, gold, digger, attractive, sex, dress, bear, pressure, nude"
3,5,3,"woman, cock, slutbag, american, kill, sleep, repress, public, context, sculpture"
3,5,4,"woman, skank, manspreading, hater, lpf, militia, pro, rise, away, lbs"
4,5,0,"woman, digger, slag, ass, attractive, house, repress, benefit, co, add"
4,5,1,"woman, tit, ipc, crime, jacket, policy, bath, sexually, quote, payment"
4,5,2,"woman, slutbag, cunt, man, slapper, latex, age, hijab, joke, mutually"
4,5,3,"woman, skank, blonde, hard, deserve, dog, attractive, peasant, pathfinder, dumb"
4,5,4,"woman, whore, gangbange, life, light, sort, omg, news, slut, airtel"
5,8,0,"tit, slapper, fucker, fake, campaign, cus, respond, happen, kiss, lingerie"
5,8,1,"#everydaysexism, bitch, bint, skank, real, blond, fish, common, trailer, examine"
5,8,2,"beautiful, attractive, kill, combat, sculpture, grab, mansplaine, canada, patriarchal, kelly"
5,8,3,"digger, gold, prostitute, ipc, poc, gaming, foul, pathfinder, peasant, resentful"
5,8,4,"hate, latex, feminazi, trophy, fandom, rubber, yadda, immigration, homophobic, table"
5,8,5,"cock, bitch, probably, horrible, forest, lpf, corner, mile, deform, naseeha"
5,8,6,"gangbange, skank, honestly, slut, personally, futa, call, airtel, egregious, psychologically"
5,8,7,"whore, love, deserve, slutbag, free, trophy, understand, xmas, bit, suspend"
6,8,0,"slutbag, manspreading, skirt, wife, gaming, cool, bigotry, punch, mum, cheerleader"
6,8,1,"woman, back, manspreade, money, foul, delicious, burden, yummy, fucking, hate"
6,8,2,"skank, mansplaining, ipc, arteta, mansplaine, gender, sculpture, goalkeeper, president, lpf"
6,8,3,"bitch, love, deserve, cunt, catch, pregnant, result, freak, news, ein"
6,8,4,"tit, misandry, twitter, latex, slut, fandom, system, futa, peasant, rubber"
6,8,5,"gold, slapper, digger, #notallman, sexy, knee, raven, pathfinder, trashy, ker"
6,8,6,"beautiful, huge, support, slave, pronoun, activism, sumn, describe, chinese, pill"
6,8,7,"whore, fuck, gangbange, queer, cis, tryna, yadda, immigration, congress, blackout"
